"","V1","V2","V3"
"1","1990","love","13790"
"2","1990","burn","69"
"3","1990","baby","8718"
"4","1990","girl","3773"
"5","1990","boy","1006"
"6","1990","why","1412"
"7","1990","truck","0"
"8","1990","happy","197"
"9","1990","sad","255"
"10","1991","love","14018"
"11","1991","burn","72"
"12","1991","baby","7391"
"13","1991","girl","2492"
"14","1991","boy","891"
"15","1991","why","2138"
"16","1991","truck","6"
"17","1991","happy","391"
"18","1991","sad","166"
"19","1992","love","13009"
"20","1992","burn","93"
"21","1992","baby","10379"
"22","1992","girl","3209"
"23","1992","boy","615"
"24","1992","why","2375"
"25","1992","truck","62"
"26","1992","happy","289"
"27","1992","sad","191"
"28","1993","love","12799"
"29","1993","burn","87"
"30","1993","baby","9191"
"31","1993","girl","3663"
"32","1993","boy","1151"
"33","1993","why","1869"
"34","1993","truck","43"
"35","1993","happy","383"
"36","1993","sad","299"
"37","1994","love","10099"
"38","1994","burn","110"
"39","1994","baby","5835"
"40","1994","girl","2729"
"41","1994","boy","988"
"42","1994","why","1888"
"43","1994","truck","48"
"44","1994","happy","423"
"45","1994","sad","221"
"46","1995","love","12609"
"47","1995","burn","155"
"48","1995","baby","6447"
"49","1995","girl","3340"
"50","1995","boy","1286"
"51","1995","why","2138"
"52","1995","truck","47"
"53","1995","happy","741"
"54","1995","sad","119"
"55","1996","love","9757"
"56","1996","burn","190"
"57","1996","baby","6480"
"58","1996","girl","2012"
"59","1996","boy","1084"
"60","1996","why","1894"
"61","1996","truck","53"
"62","1996","happy","596"
"63","1996","sad","357"
"64","1997","love","10155"
"65","1997","burn","87"
"66","1997","baby","7208"
"67","1997","girl","2009"
"68","1997","boy","908"
"69","1997","why","1847"
"70","1997","truck","30"
"71","1997","happy","565"
"72","1997","sad","353"
"73","1998","love","9471"
"74","1998","burn","65"
"75","1998","baby","6555"
"76","1998","girl","2389"
"77","1998","boy","1020"
"78","1998","why","1294"
"79","1998","truck","20"
"80","1998","happy","104"
"81","1998","sad","233"
"82","1999","love","8833"
"83","1999","burn","154"
"84","1999","baby","6408"
"85","1999","girl","2445"
"86","1999","boy","874"
"87","1999","why","1422"
"88","1999","truck","39"
"89","1999","happy","309"
"90","1999","sad","186"
"91","2000","love","8898"
"92","2000","burn","333"
"93","2000","baby","8479"
"94","2000","girl","5003"
"95","2000","boy","803"
"96","2000","why","2439"
"97","2000","truck","616"
"98","2000","happy","192"
"99","2000","sad","353"
"100","2001","love","7230"
"101","2001","burn","348"
"102","2001","baby","6326"
"103","2001","girl","2692"
"104","2001","boy","1009"
"105","2001","why","2404"
"106","2001","truck","132"
"107","2001","happy","249"
"108","2001","sad","71"
"109","2002","love","8063"
"110","2002","burn","214"
"111","2002","baby","4999"
"112","2002","girl","3939"
"113","2002","boy","2288"
"114","2002","why","1962"
"115","2002","truck","229"
"116","2002","happy","253"
"117","2002","sad","140"
"118","2003","love","8965"
"119","2003","burn","138"
"120","2003","baby","4630"
"121","2003","girl","4261"
"122","2003","boy","2263"
"123","2003","why","2124"
"124","2003","truck","158"
"125","2003","happy","303"
"126","2003","sad","107"
"127","2004","love","8530"
"128","2004","burn","582"
"129","2004","baby","6075"
"130","2004","girl","5030"
"131","2004","boy","1217"
"132","2004","why","2076"
"133","2004","truck","161"
"134","2004","happy","550"
"135","2004","sad","71"
"136","2005","love","8068"
"137","2005","burn","147"
"138","2005","baby","6754"
"139","2005","girl","6665"
"140","2005","boy","910"
"141","2005","why","1674"
"142","2005","truck","90"
"143","2005","happy","268"
"144","2005","sad","58"
"145","2006","love","5855"
"146","2006","burn","238"
"147","2006","baby","4902"
"148","2006","girl","4087"
"149","2006","boy","1234"
"150","2006","why","1861"
"151","2006","truck","100"
"152","2006","happy","199"
"153","2006","sad","335"
"154","2007","love","6069"
"155","2007","burn","118"
"156","2007","baby","4313"
"157","2007","girl","3823"
"158","2007","boy","1888"
"159","2007","why","1958"
"160","2007","truck","201"
"161","2007","happy","184"
"162","2007","sad","83"
"163","2008","love","8689"
"164","2008","burn","273"
"165","2008","baby","4709"
"166","2008","girl","4810"
"167","2008","boy","1116"
"168","2008","why","1656"
"169","2008","truck","185"
"170","2008","happy","213"
"171","2008","sad","231"
"172","2009","love","8410"
"173","2009","burn","342"
"174","2009","baby","4824"
"175","2009","girl","5846"
"176","2009","boy","1322"
"177","2009","why","1957"
"178","2009","truck","133"
"179","2009","happy","177"
"180","2009","sad","129"
"181","2010","love","8162"
"182","2010","burn","244"
"183","2010","baby","6716"
"184","2010","girl","4614"
"185","2010","boy","2003"
"186","2010","why","1290"
"187","2010","truck","257"
"188","2010","happy","225"
"189","2010","sad","114"
"190","2011","love","8424"
"191","2011","burn","195"
"192","2011","baby","7590"
"193","2011","girl","5675"
"194","2011","boy","1503"
"195","2011","why","1288"
"196","2011","truck","265"
"197","2011","happy","239"
"198","2011","sad","93"
"199","2012","love","6835"
"200","2012","burn","633"
"201","2012","baby","6110"
"202","2012","girl","3489"
"203","2012","boy","728"
"204","2012","why","1425"
"205","2012","truck","501"
"206","2012","happy","134"
"207","2012","sad","0"
"208","2013","love","6476"
"209","2013","burn","1496"
"210","2013","baby","5072"
"211","2013","girl","3472"
"212","2013","boy","834"
"213","2013","why","826"
"214","2013","truck","355"
"215","2013","happy","162"
"216","2013","sad","7"
"217","2014","love","925"
"218","2014","burn","1716"
"219","2014","baby","707"
"220","2014","girl","371"
"221","2014","boy","72"
"222","2014","why","88"
"223","2014","truck","3"
"224","2014","happy","33"
"225","2014","sad","0"
"226","2015","love","152"
"227","2015","burn","0"
"228","2015","baby","24"
"229","2015","girl","38"
"230","2015","boy","0"
"231","2015","why","38"
"232","2015","truck","0"
"233","2015","happy","3"
"234","2015","sad","0"
